pair,side,entry_time_et,exit_time_et,hold_min,entry_z,exit_z,beta,qty_a,qty_b,entry_a,entry_b,exit_a,exit_b,pnl,exit_reason
GLD-IAU,LONG_SPREAD,2025-12-11 14:44:00-05:00,2025-12-11 14:45:00-05:00,1.0,-2.0810004728542,-0.4051804688350044,4.760000161999957,18,-19,393.0199890136719,80.48999786376953,393.0801086425781,80.48999786376953,1.0821533203125,TP
GLD-IAU,LONG_SPREAD,2025-12-12 09:34:00-05:00,2025-12-12 09:41:00-05:00,7.0,-2.6592453518746,0.17827913290731653,4.887916168048047,18,-18,398.6199951171875,81.63999938964844,399.0450134277344,81.7300033569336,6.0302581787109375,TP
GLD-IAU,SHORT_SPREAD,2025-12-12 09:47:00-05:00,2025-12-12 09:48:00-05:00,1.0,3.4081973587559027,0.20096342261673886,4.880399055109958,-18,18,399.2550048828125,81.76000213623047,399.4200134277344,81.80000305175781,-2.2501373291015625,TP
GLD-IAU,LONG_SPREAD,2025-12-12 10:03:00-05:00,2025-12-12 10:08:00-05:00,5.0,-2.5254427921496645,-0.35846696035817993,4.880937421331695,18,-18,399.64569091796875,81.84500122070312,399.7200012207031,81.86000061035156,1.067596435546875,TP
GLD-IAU,LONG_SPREAD,2025-12-12 10:17:00-05:00,2025-12-12 10:18:00-05:00,1.0,-2.415181193771659,-0.0984432054961652,4.876759352707513,18,-18,398.7099914550781,81.6500015258789,398.2699890136719,81.56999969482422,-6.480010986328125,TP
GLD-IAU,SHORT_SPREAD,2025-12-12 10:35:00-05:00,2025-12-12 10:40:00-05:00,5.0,3.175885278325945,0.20423967882772529,4.873644887361165,-18,18,395.9800109863281,81.08000183105469,396.5799865722656,81.20999908447266,-8.459609985351562,TP
GLD-IAU,SHORT_SPREAD,2025-12-12 10:42:00-05:00,2025-12-12 10:46:00-05:00,4.0,2.137548651722492,-0.21183765777521016,4.874646698825715,-18,18,396.7099914550781,81.2300033569336,397.135009765625,81.32499694824219,-5.9404449462890625,TP
GLD-IAU,LONG_SPREAD,2025-12-12 11:02:00-05:00,2025-12-12 11:06:00-05:00,4.0,-3.6313289807916225,-0.33186406506646465,4.884416963747257,18,-18,393.93011474609375,80.68000030517578,393.95001220703125,80.68000030517578,0.358154296875,TP
GLD-IAU,SHORT_SPREAD,2025-12-12 11:10:00-05:00,2025-12-12 11:12:00-05:00,2.0,2.4035556786661423,-0.08354826308459795,4.884812645630446,-18,18,393.32000732421875,80.54000091552734,394.17010498046875,80.7300033569336,-11.8817138671875,TP
GLD-IAU,LONG_SPREAD,2025-12-12 11:20:00-05:00,2025-12-12 11:21:00-05:00,1.0,-2.5887715550338424,-0.27532905282198683,4.891567124334969,18,-18,393.80999755859375,80.6500015258789,392.9800109863281,80.4800033569336,-11.879791259765625,TP
GLD-IAU,LONG_SPREAD,2025-12-12 11:31:00-05:00,2025-12-12 11:32:00-05:00,1.0,-2.139345710780776,-0.18624949531655002,4.892486248680613,18,-18,394.05499267578125,80.69999694824219,394.12030029296875,80.71499633789062,0.905548095703125,TP
GLD-IAU,LONG_SPREAD,2025-12-12 11:47:00-05:00,2025-12-12 11:48:00-05:00,1.0,-3.9880937098654043,0.09929611297146401,4.918407276282056,19,-18,393.32000732421875,80.55000305175781,393.4049987792969,80.58999633789062,0.89495849609375,TP
GLD-IAU,LONG_SPREAD,2025-12-12 11:49:00-05:00,2025-12-12 11:50:00-05:00,1.0,-2.390119113391869,0.25761959590569966,4.927590422449709,19,-18,393.4200134277344,80.56950378417969,393.07501220703125,80.50499725341797,-5.3939056396484375,TP
